Protein accession,Name,Description,PFAMs,Preferred_name,COG_category,Pathway_name,FC,Strain,Main. Classification. Pathway,Strategy
EYU53713.1,50S ribosomal protein L4,Forms part of the polypeptide exit tunnel,Ribosomal_L4,rplD,J,Ribosome,3.669215982,Ab 1428368,Translation,Defensive
EYU53714.1,50S ribosomal protein L23,One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome,Ribosomal_L23,rplW,J,Ribosome,3.961418238,Ab 1428368,Translation,Defensive
EYU53715.1,ribosomal protein L2,"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity","Ribosomal_L2,Ribosomal_L2_C",rplB,J,Ribosome,3.466210139,Ab 1428368,Translation,Defensive
EYU53716.1,ribosomal protein S19,Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA,Ribosomal_S19,rpsS,J,Ribosome,3.951234653,Ab 1428368,Translation,Defensive
EYU53717.1,ribosomal protein L22,"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome",Ribosomal_L22,rplV,J,Ribosome,3.426918301,Ab 1428368,Translation,Defensive
EYU53718.1,ribosomal protein S3,"Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation","KH_2,Ribosomal_S3_C",rpsC,J,Ribosome,3.681568799,Ab 1428368,Translation,Defensive
EYU53719.1,ribosomal protein L16,Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs,Ribosomal_L16,rplP,J,Ribosome,3.258443109,Ab 1428368,Translation,Defensive
EYU53720.1,ribosomal protein L29,Belongs to the universal ribosomal protein uL29 family,Ribosomal_L29,rpmC,J,Ribosome,3.424660219,Ab 1428368,Translation,Defensive
EYU53721.1,30S ribosomal protein S17,"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA",Ribosomal_S17,rpsQ,J,Ribosome,3.972547214,Ab 1428368,Translation,Defensive
EYU53722.1,ribosomal protein L14,Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome,Ribosomal_L14,rplN,J,Ribosome,3.556510726,Ab 1428368,Translation,Defensive
EYU53723.1,ribosomal protein L24,One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit,"KOW,ribosomal_L24",rplX,J,Ribosome,3.609100995,Ab 1428368,Translation,Defensive
EYU53724.1,ribosomal L5 family protein,"This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits","Ribosomal_L5,Ribosomal_L5_C",rplE,J,Ribosome,3.492034918,Ab 1428368,Translation,Defensive
EYU53725.1,ribosomal S14p/S29e family protein,"Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site",Ribosomal_S14,rpsN,J,Ribosome,3.791941926,Ab 1428368,Translation,Defensive
EYU53726.1,30S ribosomal protein S8,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit",Ribosomal_S8,rpsH,J,Ribosome,3.919181365,Ab 1428368,Translation,Defensive
EYU53727.1,ribosomal protein L6,"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center",Ribosomal_L6,rplF,J,Ribosome,4.136929004,Ab 1428368,Translation,Defensive
EYU53728.1,ribosomal protein L18,"This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance",Ribosomal_L18p,rplR,J,Ribosome,4.022778281,Ab 1428368,Translation,Defensive
EYU53729.1,ribosomal protein S5,Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body,"Ribosomal_S5,Ribosomal_S5_C",rpsE,J,Ribosome,2.585266163,Ab 1428368,Translation,Defensive
EYU53730.1,ribosomal protein L30,Ribosomal protein L30,Ribosomal_L30,rpmD,J,Ribosome,3.674016874,Ab 1428368,Translation,Defensive
EYU53731.1,ribosomal protein L15,binds to the 23S rRNA,Ribosomal_L27A,rplO,J,Ribosome,3.77298054,Ab 1428368,Translation,Defensive
EYU53733.1,ribosomal protein L36,Belongs to the bacterial ribosomal protein bL36 family,Ribosomal_L36,rpmJ,J,Ribosome,4.282779582,Ab 1428368,Translation,Defensive
EYU53734.1,30S ribosomal protein S13,"Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits",Ribosomal_S13,rpsM,J,Ribosome,3.17553038,Ab 1428368,Translation,Defensive
EYU53735.1,30S ribosomal protein S11,"Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome",Ribosomal_S11,rpsK,J,Ribosome,3.482554421,Ab 1428368,Translation,Defensive
EYU53736.1,ribosomal protein S4,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit","Ribosomal_S4,S4",rpsD,J,Ribosome,3.35633738,Ab 1428368,Translation,Defensive
EYU53738.1,ribosomal protein L17,Ribosomal protein L17,Ribosomal_L17,rplQ,J,Ribosome,2.952580139,Ab 1428368,Translation,Defensive
EYU53285.1,ribosomal protein L11,Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors,"Ribosomal_L11,Ribosomal_L11_N",rplK,J,Ribosome,3.971534402,Ab 1428368,Translation,Defensive
EYU53286.1,ribosomal protein L1,"Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release",Ribosomal_L1,rplA,J,Ribosome,3.857160397,Ab 1428368,Translation,Defensive
EYU53287.1,ribosomal L10 family protein,"Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors",Ribosomal_L10,rplJ,J,Ribosome,3.268354666,Ab 1428368,Translation,Defensive
EYU53288.1,ribosomal protein L7/L12,Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation,"Ribosomal_L12,Ribosomal_L12_N",rplL,J,Ribosome,2.754393732,Ab 1428368,Translation,Defensive
EYU53364.1,ribosomal protein S15,Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome,Ribosomal_S15,rpsO,J,Ribosome,1.46616608,Ab 1428368,Translation,Defensive
EYU53241.1,arginine--tRNA ligase,Arginyl-tRNA synthetase,"Arg_tRNA_synt_N,DALR_1,tRNA-synt_1d",argS,J,Aminoacyl-tRNA biosynthesis,1.256158396,Ab 1428368,Translation,Defensive
EYU53070.1,proline--tRNA ligase,"Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS","HGTP_anticodon,tRNA-synt_2b,tRNA_edit",proS,J,Aminoacyl-tRNA biosynthesis,2.183108967,Ab 1428368,Translation,Defensive
EYU53152.1,aspartate--tRNA ligase,Aspartyl-tRNA synthetase with relaxed tRNA specificity since it is able to aspartylate not only its cognate tRNA(Asp) but also tRNA(Asn). Reaction proceeds in two steps L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp Asn),"GAD,tRNA-synt_2,tRNA_anti-codon",aspS,J,Aminoacyl-tRNA biosynthesis,2.26240991,Ab 1428368,Translation,Defensive
EYU52953.1,ribosomal protein L9,Binds to the 23S rRNA,"Ribosomal_L9_C,Ribosomal_L9_N",rplI,J,Ribosome,3.869131873,Ab 1428368,Translation,Defensive
EYU52954.1,ribosomal protein S18,"Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit",Ribosomal_S18,rpsR,J,Ribosome,4.051910454,Ab 1428368,Translation,Defensive
EYU52955.1,ribosomal protein S6,Binds together with S18 to 16S ribosomal RNA,Ribosomal_S6,rpsF,J,Ribosome,4.063345313,Ab 1428368,Translation,Defensive
EYU52595.1,cysteine--tRNA ligase,Belongs to the class-I aminoacyl-tRNA synthetase family,"DALR_2,tRNA-synt_1e,tRNA-synt_1g",cysS,J,Aminoacyl-tRNA biosynthesis,1.471306221,Ab 1428368,Translation,Defensive
EYU52510.1,ribosomal protein S2,Belongs to the universal ribosomal protein uS2 family,Ribosomal_S2,rpsB,J,Ribosome,3.271881715,Ab 1428368,Translation,Defensive
EYU52386.1,30S ribosomal protein S9,Belongs to the universal ribosomal protein uS9 family,Ribosomal_S9,rpsI,J,Ribosome,2.437863365,Ab 1428368,Translation,Defensive
EYU52387.1,ribosomal protein L13,"This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly",Ribosomal_L13,rplM,J,Ribosome,1.980026559,Ab 1428368,Translation,Defensive
EYU51877.1,"aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit",Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln),"GatB_N,GatB_Yqey",gatB,J,Aminoacyl-tRNA biosynthesis,1.033390323,Ab 1428368,Translation,Defensive
EYU51878.1,"aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit",Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln),Amidase,gatA,J,Aminoacyl-tRNA biosynthesis,2.851146911,Ab 1428368,Translation,Defensive
EYU51775.1,isoleucine--tRNA ligase,"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)","Anticodon_1,tRNA-synt_1,zf-FPG_IleRS",ileS,J,Aminoacyl-tRNA biosynthesis,1.827535833,Ab 1428368,Translation,Defensive
EYU51742.1,ribosomal protein L21,This protein binds to 23S rRNA in the presence of protein L20,Ribosomal_L21p,rplU,J,Ribosome,2.650940022,Ab 1428368,Translation,Defensive
EYU51309.1,ribosomal protein S1,thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence,S1,rpsA,J,Ribosome,3.412904115,Ab 1428368,Translation,Defensive
EYU54815.1,HAMP domain protein,Histidine kinase,"HAMP,HATPase_c,HisKA",envZ,T,Two-component system,1.65361817,Ab 1428368,Signal transduction,Defensive
EYU54816.1,transcriptional regulatory protein ompR,COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,"Response_reg,Trans_reg_C",ompR,K,Two-component system,2.03921519,Ab 1428368,Signal transduction,Defensive
EYU52001.1,two-component system response regulator protein,COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,"Response_reg,Trans_reg_C",rstA,K,Two-component system,1.254978359,Ab 1428368,Signal transduction,Defensive
EYU53732.1,"preprotein translocase, SecY subunit","The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently",SecY,secY,U,Quorum sensing,3.659084482,Ab 1428368,Cellular community - prokaryotes,Defensive
EYU53117.1,"preprotein translocase, SecA subunit","Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane","SEC-C,SecA_DEAD,SecA_PP_bind,SecA_SW",secA,U,Quorum sensing,1.171102945,Ab 1428368,Cellular community - prokaryotes,Defensive
EYU51733.1,"efflux transporter, outer membrane factor (OMF) lipo, NodT family protein",Outer membrane efflux protein,OEP,oprM,M,Quorum sensing,2.758455665,Ab 1428368,Cellular community - prokaryotes,Defensive
EXH40826.1,autoinducer synthetase family protein,Involved in the synthesis of the acyl-homoserine lactone (AHL) signal N-(3-hydroxydodecanoyl)-L-HSL (3-hydroxy-C(12)-HSL or OH-dDHL),Autoind_synth,vanI,H,Quorum sensing,-1.352948831,Ab 1207552,Cellular community - prokaryotes,Evasive
EYU54084.1,cyclic AMP receptor-like protein,"helix_turn_helix, cAMP Regulatory protein","Crp,cNMP_binding",crp,K,Quorum sensing,-1.731996462,Ab 1428368,Cellular community - prokaryotes,Evasive
EYU52964.1,"poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA","Exports the biofilm adhesin polysaccharide poly-beta- 1,6-N-acetyl-D-glucosamine (PGA) across the outer membrane. The PGA transported seems to be partially N-deacetylated since N- deacetylation of PGA by PgaB is needed for PGA export through the PgaA porin","TPR_16,TPR_19",pgaA,S,Biofilm formation - Escherichia coli,-1.105204472,Ab 1428368,Cellular community - prokaryotes,Evasive
EYU52017.1,diguanylate cyclase domain protein,diguanylate cyclase,"GGDEF,Response_reg",-,T,Biofilm formation - Pseudomonas aeruginosa,-1.360968115,Ab 1428368,Cellular community - prokaryotes,Evasive
